target_xpath,condition_value,replacement_value
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283101,https://digicoll.lib.berkeley.edu/record/91942
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283102,https://digicoll.lib.berkeley.edu/record/91943
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283103,https://digicoll.lib.berkeley.edu/record/91944
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283104,https://digicoll.lib.berkeley.edu/record/91923
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283105,https://digicoll.lib.berkeley.edu/record/91924
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283106,https://digicoll.lib.berkeley.edu/record/91925
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283107,https://digicoll.lib.berkeley.edu/record/91910
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283108,https://digicoll.lib.berkeley.edu/record/91911
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283109,https://digicoll.lib.berkeley.edu/record/91912
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283110,https://digicoll.lib.berkeley.edu/record/91913
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283111,https://digicoll.lib.berkeley.edu/record/91886
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283112,https://digicoll.lib.berkeley.edu/record/91887
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283113,https://digicoll.lib.berkeley.edu/record/91888
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283114,https://digicoll.lib.berkeley.edu/record/91889
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283115,https://digicoll.lib.berkeley.edu/record/91890
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283116,https://digicoll.lib.berkeley.edu/record/91891
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283117,https://digicoll.lib.berkeley.edu/record/91892
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283118,https://digicoll.lib.berkeley.edu/record/91893
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283119,https://digicoll.lib.berkeley.edu/record/91894
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283120,https://digicoll.lib.berkeley.edu/record/91895
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283121,https://digicoll.lib.berkeley.edu/record/91896
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283122,https://digicoll.lib.berkeley.edu/record/91897
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283123,https://digicoll.lib.berkeley.edu/record/91898
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283124,https://digicoll.lib.berkeley.edu/record/91899
"//*[starts-with(name(), ""c0"")][@level=""file"" or @level=""item""][@id=""VALUE""]//e:dao/@xlink:href",aspace_x7111283125,https://digicoll.lib.berkeley.edu/record/91900
